CASE REFERENCE,OPEN DATE,CLOSED DATE,STATUS,SUBJECT,REASON,TYPE,OBJECT TYPE,ADDRESS NUMBER,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE,PROPERTY ID,LOCATION,LATITUDE,LONGITUDE,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD,X COORDINATE,Y COORDINATE
1000546665,06/20/2016 10:33:00 AM,06/20/2016 02:15:00 PM,Closed,Buffalo Police Department,Police,Police Issue (Req_Serv),Street,,BUSTI,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000546693,06/20/2016 10:59:00 AM,07/05/2016 09:53:00 AM,Closed,DPIS,Housing,Housing Violations (Req_Serv),Property,5,IRVING,,Buffalo,NY,,100.78-9-4,,,,,,,,,UNKNOWN,,
1000546949,06/20/2016 03:54:00 PM,06/21/2016 09:35:00 AM,Closed,Buffalo Police Department,Police,Police Issue (Req_Serv),Property,,CATHEDRAL PARK,,Buffalo,NY,,100011,,,,,,,,,UNKNOWN,,
1000546979,06/20/2016 10:27:00 PM,06/21/2016 07:48:00 AM,Closed,Dept of Parking,Parking Violations Bureau,Parking Issues (Req_Serv),Street,,College St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547051,06/21/2016 09:33:00 AM,06/21/2016 03:24:00 PM,Closed,Dept of Public Works,Sanitation,Illegal Dumping Street (Req_Serv),Street,,Curtiss St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547353,06/21/2016 03:39:00 PM,06/28/2016 07:00:00 AM,Closed,Dept of Public Works,Forestry,Tree Removal (Req_SERV),Property,378,SOUTHSIDE,,Buffalo,NY,,123.17-2-13,,,,,,,,,UNKNOWN,,
1000547447,06/22/2016 09:38:00 AM,07/19/2016 11:14:00 AM,Closed,Dept of Public Works,Engineering - Street Repairs,Cave In (Req_Serv),Street,,PUTNAM SOUTH,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547478,06/22/2016 10:03:00 AM,06/29/2016 11:56:00 AM,Closed,Dept of Public Works,Sanitation,Totes Abandon Pickup (Req_Serv),Street,,SOUTHSIDE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547514,06/22/2016 11:05:00 AM,06/24/2016 03:02:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Pot Hole (Req_Serv),Street,,ZELMER,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547527,06/22/2016 11:22:00 AM,06/24/2016 03:29:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,PAGE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547533,06/22/2016 11:27:00 AM,06/22/2016 03:23:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,O CONNOR,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547660,06/22/2016 02:52:00 PM,06/23/2016 04:02:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Washington St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547889,06/23/2016 11:06:00 AM,06/23/2016 03:44:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Main St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000547964,06/23/2016 12:38:00 PM,06/23/2016 03:35:00 PM,Closed,Dept of Public Works,Rodent Control,Pest (Req_Serv),Street,,FILLMORE,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558288,06/24/2016 11:42:00 AM,06/24/2016 03:01:00 PM,Closed,Buffalo Police Department,Police,Police Issue (Req_Serv),Street,,ALBANY,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558325,06/24/2016 01:03:00 PM,07/08/2016 10:15:00 AM,Closed,Dept of Public Works,Sanitation,Recycling Tote Replace (Req_Serv),Individual,,,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558462,06/24/2016 04:27:00 PM,06/28/2016 04:16:00 PM,Closed,Dept of Public Works,Sanitation,Recycling Missed Pick Up (Req_Serv),Street,,MARION,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558478,06/25/2016 01:23:00 PM,07/01/2016 07:00:00 AM,Closed,Dept of Public Works,Forestry,Tree Trimming Request (Req_Serv),Street,,COBURG,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558697,06/27/2016 11:51:00 AM,06/28/2016 09:21:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Franklin St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558805,06/27/2016 01:50:00 PM,06/28/2016 03:41:00 PM,Closed,Dept of Parking,Parking Violations Bureau,PVB Pay Station (Req_Serv),Street,,Washington St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558837,06/27/2016 02:22:00 PM,06/27/2016 03:38:00 PM,Closed,Dept of Law,Adjudication - Ordinance Violation,Illegal Dumping (Req_Serv),Individual,,,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000558858,06/27/2016 02:39:00 PM,09/07/2016 09:09:00 AM,Closed,Dept of Public Works,Engineering - Traffic,Sign Maintenance (Req_Serv),Street,,JEWETT PKWY,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000559096,06/28/2016 11:27:00 AM,06/28/2016 02:08:00 PM,Closed,Dept of Public Works,Streets,Sweeper (Req_Serv),Street,,SHIRLEY,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000559228,06/28/2016 02:53:00 PM,06/30/2016 07:54:00 AM,Closed,Dept of Parking,Parking Violations Bureau,PVB Single Meter (Req_Serv),Street,,Allen St,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
1000559267,06/28/2016 03:35:00 PM,07/05/2016 02:10:00 PM,Closed,Dept of Public Works,Engineering - Street Repairs,Paving (Req_Serv),Street,,S Elmwood Ave,,Buffalo,NY,,,,,,,,,,,UNKNOWN,,
